date,product_id,product_name,item_name,brand,category,price,quantity,revenue
2023-08-25,3,E-Liquid,Mango Burst,JuicyMist,Liquids,15,1,15
2023-03-09,10,Coals,Three Kings Quicklight,Three Kings,Accessories,9,1,9
2023-06-25,10,Coals,Three Kings Quicklight,Three Kings,Accessories,9,8,72
2023-01-29,9,Coals,CocoNara Coals 1kg,CocoNara,Accessories,10,1,10
2023-09-22,12,Ashtray,SmokeMate Steel Ashtray,SmokeMate,Accessories,8,2,16
2023-08-06,12,Ashtray,SmokeMate Steel Ashtray,SmokeMate,Accessories,8,3,24
2023-05-02,9,Coals,CocoNara Coals 1kg,CocoNara,Accessories,10,4,40
2023-06-18,1,Vape Pen,Vapex Slim Pen,Vapex,Devices,35,3,105
2023-06-17,2,Vape Pen,AirVibe Max,AirVibe,Devices,40,1,40
2023-12-30,7,Grinder,SharpStone 4-Piece,SharpStone,Accessories,20,1,20
2023-07-27,1,Vape Pen,Vapex Slim Pen,Vapex,Devices,35,3,105
2023-10-12,5,Rolling Papers,RAW Classic 1 1/4,RAW,Accessories,5,1,5
2023-06-26,8,Hookah,Fumari Mini Hookah,Fumari,Devices,50,2,100
2023-12-30,11,CBD Gummies,ChillZone 500mg Gummies,ChillZone,Consumables,25,3,75
2023-02-07,8,Hookah,Fumari Mini Hookah,Fumari,Devices,50,5,250
2023-03-04,7,Grinder,SharpStone 4-Piece,SharpStone,Accessories,20,2,40
2023-11-04,7,Grinder,SharpStone 4-Piece,SharpStone,Accessories,20,3,60
2023-12-05,7,Grinder,SharpStone 4-Piece,SharpStone,Accessories,20,2,40
2023-09-18,1,Vape Pen,Vapex Slim Pen,Vapex,Devices,35,1,35
2023-05-23,1,Vape Pen,Vapex Slim Pen,Vapex,Devices,35,1,35
2023-05-08,12,Ashtray,SmokeMate Steel Ashtray,SmokeMate,Accessories,8,1,8
2023-03-14,3,E-Liquid,Mango Burst,JuicyMist,Liquids,15,1,15
2023-01-02,12,Ashtray,SmokeMate Steel Ashtray,SmokeMate,Accessories,8,3,24
2023-02-10,9,Coals,CocoNara Coals 1kg,CocoNara,Accessories,10,1,10
2023-08-29,2,Vape Pen,AirVibe Max,AirVibe,Devices,40,1,40
2023-07-29,12,Ashtray,SmokeMate Steel Ashtray,SmokeMate,Accessories,8,1,8
2023-01-06,11,CBD Gummies,ChillZone 500mg Gummies,ChillZone,Consumables,25,1,25
2023-03-27,8,Hookah,Fumari Mini Hookah,Fumari,Devices,50,1,50
2023-10-11,12,Ashtray,SmokeMate Steel Ashtray,SmokeMate,Accessories,8,1,8
2023-08-14,1,Vape Pen,Vapex Slim Pen,Vapex,Devices,35,2,70
2023-12-14,1,Vape Pen,Vapex Slim Pen,Vapex,Devices,35,1,35
2023-12-17,12,Ashtray,SmokeMate Steel Ashtray,SmokeMate,Accessories,8,2,16
2023-09-14,3,E-Liquid,Mango Burst,JuicyMist,Liquids,15,2,30
2023-10-29,7,Grinder,SharpStone 4-Piece,SharpStone,Accessories,20,3,60
2023-05-20,1,Vape Pen,Vapex Slim Pen,Vapex,Devices,35,1,35
2023-04-02,6,Rolling Papers,Zig-Zag Ultra Thin,Zig-Zag,Accessories,4,2,8
2023-07-02,2,Vape Pen,AirVibe Max,AirVibe,Devices,40,2,80
2023-05-15,8,Hookah,Fumari Mini Hookah,Fumari,Devices,50,3,150
2023-07-20,11,CBD Gummies,ChillZone 500mg Gummies,ChillZone,Consumables,25,1,25
2023-07-23,11,CBD Gummies,ChillZone 500mg Gummies,ChillZone,Consumables,25,2,50
2023-09-09,9,Coals,CocoNara Coals 1kg,CocoNara,Accessories,10,1,10
2023-09-15,3,E-Liquid,Mango Burst,JuicyMist,Liquids,15,1,15
2023-11-17,12,Ashtray,SmokeMate Steel Ashtray,SmokeMate,Accessories,8,1,8
2023-03-30,2,Vape Pen,AirVibe Max,AirVibe,Devices,40,1,40
2023-08-06,11,CBD Gummies,ChillZone 500mg Gummies,ChillZone,Consumables,25,5,125
2023-04-03,10,Coals,Three Kings Quicklight,Three Kings,Accessories,9,3,27
2023-11-15,10,Coals,Three Kings Quicklight,Three Kings,Accessories,9,1,9
2023-11-11,1,Vape Pen,Vapex Slim Pen,Vapex,Devices,35,1,35
2023-03-29,6,Rolling Papers,Zig-Zag Ultra Thin,Zig-Zag,Accessories,4,2,8
2023-01-12,4,E-Liquid,Mint Ice,CoolCloud,Liquids,18,3,54
2023-04-28,11,CBD Gummies,ChillZone 500mg Gummies,ChillZone,Consumables,25,1,25
2023-12-13,11,CBD Gummies,ChillZone 500mg Gummies,ChillZone,Consumables,25,1,25
2023-09-05,9,Coals,CocoNara Coals 1kg,CocoNara,Accessories,10,1,10
2023-10-30,10,Coals,Three Kings Quicklight,Three Kings,Accessories,9,1,9
2023-09-05,11,CBD Gummies,ChillZone 500mg Gummies,ChillZone,Consumables,25,3,75
2023-12-25,12,Ashtray,SmokeMate Steel Ashtray,SmokeMate,Accessories,8,4,32
2023-10-02,2,Vape Pen,AirVibe Max,AirVibe,Devices,40,1,40
2023-11-03,7,Grinder,SharpStone 4-Piece,SharpStone,Accessories,20,3,60
2023-10-09,12,Ashtray,SmokeMate Steel Ashtray,SmokeMate,Accessories,8,2,16
2023-06-11,4,E-Liquid,Mint Ice,CoolCloud,Liquids,18,2,36
2023-01-26,11,CBD Gummies,ChillZone 500mg Gummies,ChillZone,Consumables,25,1,25
2023-09-02,9,Coals,CocoNara Coals 1kg,CocoNara,Accessories,10,2,20
2023-08-04,7,Grinder,SharpStone 4-Piece,SharpStone,Accessories,20,1,20
2023-03-07,7,Grinder,SharpStone 4-Piece,SharpStone,Accessories,20,1,20
2023-01-25,9,Coals,CocoNara Coals 1kg,CocoNara,Accessories,10,1,10
2023-06-24,7,Grinder,SharpStone 4-Piece,SharpStone,Accessories,20,1,20
2023-01-11,10,Coals,Three Kings Quicklight,Three Kings,Accessories,9,3,27
2023-05-19,12,Ashtray,SmokeMate Steel Ashtray,SmokeMate,Accessories,8,4,32
2023-03-14,12,Ashtray,SmokeMate Steel Ashtray,SmokeMate,Accessories,8,4,32
2023-05-25,2,Vape Pen,AirVibe Max,AirVibe,Devices,40,2,80
2023-01-08,6,Rolling Papers,Zig-Zag Ultra Thin,Zig-Zag,Accessories,4,1,4
2023-01-13,2,Vape Pen,AirVibe Max,AirVibe,Devices,40,3,120
2023-11-12,11,CBD Gummies,ChillZone 500mg Gummies,ChillZone,Consumables,25,2,50
2023-12-30,4,E-Liquid,Mint Ice,CoolCloud,Liquids,18,1,18
2023-10-04,3,E-Liquid,Mango Burst,JuicyMist,Liquids,15,2,30
2023-09-20,9,Coals,CocoNara Coals 1kg,CocoNara,Accessories,10,3,30
2023-03-26,4,E-Liquid,Mint Ice,CoolCloud,Liquids,18,2,36
2023-06-06,6,Rolling Papers,Zig-Zag Ultra Thin,Zig-Zag,Accessories,4,2,8
2023-12-17,6,Rolling Papers,Zig-Zag Ultra Thin,Zig-Zag,Accessories,4,4,16
2023-09-30,11,CBD Gummies,ChillZone 500mg Gummies,ChillZone,Consumables,25,1,25
2023-09-24,6,Rolling Papers,Zig-Zag Ultra Thin,Zig-Zag,Accessories,4,3,12
2023-12-14,8,Hookah,Fumari Mini Hookah,Fumari,Devices,50,5,250
2023-04-11,6,Rolling Papers,Zig-Zag Ultra Thin,Zig-Zag,Accessories,4,1,4
2023-04-06,1,Vape Pen,Vapex Slim Pen,Vapex,Devices,35,1,35
2023-10-10,3,E-Liquid,Mango Burst,JuicyMist,Liquids,15,3,45
2023-02-18,4,E-Liquid,Mint Ice,CoolCloud,Liquids,18,1,18
2023-02-05,3,E-Liquid,Mango Burst,JuicyMist,Liquids,15,1,15
2023-08-04,10,Coals,Three Kings Quicklight,Three Kings,Accessories,9,2,18
2023-12-12,7,Grinder,SharpStone 4-Piece,SharpStone,Accessories,20,2,40
2023-01-03,4,E-Liquid,Mint Ice,CoolCloud,Liquids,18,3,54
2023-10-05,3,E-Liquid,Mango Burst,JuicyMist,Liquids,15,1,15
2023-01-04,6,Rolling Papers,Zig-Zag Ultra Thin,Zig-Zag,Accessories,4,3,12
2023-03-06,10,Coals,Three Kings Quicklight,Three Kings,Accessories,9,2,18
2023-04-02,5,Rolling Papers,RAW Classic 1 1/4,RAW,Accessories,5,2,10
2023-07-29,7,Grinder,SharpStone 4-Piece,SharpStone,Accessories,20,6,120
2023-07-27,1,Vape Pen,Vapex Slim Pen,Vapex,Devices,35,3,105
2023-04-15,10,Coals,Three Kings Quicklight,Three Kings,Accessories,9,3,27
2023-10-31,6,Rolling Papers,Zig-Zag Ultra Thin,Zig-Zag,Accessories,4,2,8
2023-05-30,10,Coals,Three Kings Quicklight,Three Kings,Accessories,9,4,36
2023-08-23,9,Coals,CocoNara Coals 1kg,CocoNara,Accessories,10,1,10
2023-08-02,7,Grinder,SharpStone 4-Piece,SharpStone,Accessories,20,2,40
2023-11-23,12,Ashtray,SmokeMate Steel Ashtray,SmokeMate,Accessories,8,1,8
2023-12-11,11,CBD Gummies,ChillZone 500mg Gummies,ChillZone,Consumables,25,3,75
2023-08-29,9,Coals,CocoNara Coals 1kg,CocoNara,Accessories,10,2,20
2023-02-23,3,E-Liquid,Mango Burst,JuicyMist,Liquids,15,1,15
2023-02-24,11,CBD Gummies,ChillZone 500mg Gummies,ChillZone,Consumables,25,1,25
2023-11-24,8,Hookah,Fumari Mini Hookah,Fumari,Devices,50,3,150
2023-01-08,4,E-Liquid,Mint Ice,CoolCloud,Liquids,18,1,18
2023-11-18,9,Coals,CocoNara Coals 1kg,CocoNara,Accessories,10,1,10
2023-06-26,6,Rolling Papers,Zig-Zag Ultra Thin,Zig-Zag,Accessories,4,2,8
2023-01-07,11,CBD Gummies,ChillZone 500mg Gummies,ChillZone,Consumables,25,1,25
2023-12-25,8,Hookah,Fumari Mini Hookah,Fumari,Devices,50,3,150
2023-11-25,1,Vape Pen,Vapex Slim Pen,Vapex,Devices,35,3,105
2023-02-22,7,Grinder,SharpStone 4-Piece,SharpStone,Accessories,20,1,20
2023-03-21,2,Vape Pen,AirVibe Max,AirVibe,Devices,40,2,80
2023-02-13,6,Rolling Papers,Zig-Zag Ultra Thin,Zig-Zag,Accessories,4,3,12
2023-06-27,8,Hookah,Fumari Mini Hookah,Fumari,Devices,50,2,100
2023-10-20,5,Rolling Papers,RAW Classic 1 1/4,RAW,Accessories,5,3,15
2023-04-19,2,Vape Pen,AirVibe Max,AirVibe,Devices,40,2,80
2023-03-18,4,E-Liquid,Mint Ice,CoolCloud,Liquids,18,1,18
2023-11-09,8,Hookah,Fumari Mini Hookah,Fumari,Devices,50,1,50
2023-02-01,12,Ashtray,SmokeMate Steel Ashtray,SmokeMate,Accessories,8,1,8
2023-09-15,10,Coals,Three Kings Quicklight,Three Kings,Accessories,9,1,9
2023-02-12,12,Ashtray,SmokeMate Steel Ashtray,SmokeMate,Accessories,8,1,8
2023-02-20,11,CBD Gummies,ChillZone 500mg Gummies,ChillZone,Consumables,25,1,25
2023-11-18,1,Vape Pen,Vapex Slim Pen,Vapex,Devices,35,2,70
2023-03-29,1,Vape Pen,Vapex Slim Pen,Vapex,Devices,35,1,35
2023-10-19,9,Coals,CocoNara Coals 1kg,CocoNara,Accessories,10,3,30
2023-11-30,1,Vape Pen,Vapex Slim Pen,Vapex,Devices,35,2,70
2023-09-25,12,Ashtray,SmokeMate Steel Ashtray,SmokeMate,Accessories,8,2,16
2023-02-19,11,CBD Gummies,ChillZone 500mg Gummies,ChillZone,Consumables,25,1,25
2023-04-16,12,Ashtray,SmokeMate Steel Ashtray,SmokeMate,Accessories,8,1,8
2023-02-20,10,Coals,Three Kings Quicklight,Three Kings,Accessories,9,1,9
2023-08-20,10,Coals,Three Kings Quicklight,Three Kings,Accessories,9,3,27
2023-12-13,5,Rolling Papers,RAW Classic 1 1/4,RAW,Accessories,5,1,5
2023-12-16,8,Hookah,Fumari Mini Hookah,Fumari,Devices,50,2,100
2023-11-26,8,Hookah,Fumari Mini Hookah,Fumari,Devices,50,2,100
2023-10-04,4,E-Liquid,Mint Ice,CoolCloud,Liquids,18,3,54
2023-10-30,8,Hookah,Fumari Mini Hookah,Fumari,Devices,50,4,200
2023-10-11,4,E-Liquid,Mint Ice,CoolCloud,Liquids,18,1,18
2023-01-04,8,Hookah,Fumari Mini Hookah,Fumari,Devices,50,2,100
